Amount of starting bloxes: 500, Ill starting bloxes: 2, Time for a recovery: 5 seconds, Randomized movement: True
Time	Healthy	Sick	Recovered
1.0	491	9	0
2.0	450	50	0
3.0	385	115	0
4.0	293	207	0
5.0	193	307	0
6.0	107	384	9
7.0	48	406	46
8.0	21	377	102
9.0	13	308	179
10.0	25	235	240
11.0	43	218	239
12.0	66	246	188
13.0	53	314	133
14.0	32	384	84
15.0	14	414	72
16.0	10	381	109
17.0	8	327	165
18.0	24	250	226
19.0	40	211	249
20.0	50	241	209
21.0	47	317	136
22.0	26	389	85
23.0	13	414	73
24.0	10	392	98
25.0	8	324	168
26.0	18	250	232
27.0	40	207	253
28.0	53	220	227
29.0	67	294	139
30.0	32	379	89
31.0	11	412	77
32.0	9	392	99
33.0	11	347	142
34.0	14	269	217
35.0	34	200	266
36.0	57	204	239
37.0	63	276	161
38.0	42	372	86
39.0	21	412	67
40.0	11	401	88
41.0	8	359	133
42.0	18	283	199
43.0	35	206	259
44.0	60	196	244
45.0	72	263	165
46.0	50	354	96
47.0	17	411	72
48.0	8	409	83
49.0	5	379	116
50.0	14	309	177
51.0	22	220	258
52.0	46	187	267
53.0	68	237	195
54.0	53	332	115
55.0	25	399	76
56.0	8	412	80
57.0	8	391	101
58.0	18	332	150
59.0	22	233	245
60.0	51	181	268
61.0	80	215	205
62.0	73	312	115
63.0	34	385	81
64.0	15	412	73
65.0	10	404	86
66.0	11	350	139
67.0	15	249	236
68.0	40	182	278
69.0	73	205	222
70.0	63	300	137
71.0	39	375	86
72.0	13	416	71
73.0	10	410	80
74.0	8	366	126
75.0	8	267	225
76.0	23	193	284
77.0	62	199	239
78.0	78	280	142
79.0	42	363	95
80.0	26	396	78
81.0	12	408	80
82.0	4	374	122
83.0	5	299	196
84.0	30	203	267
85.0	52	207	241
86.0	71	272	157
87.0	41	352	107
88.0	18	394	88
89.0	15	408	77
90.0	9	381	110
91.0	8	300	192
92.0	23	210	267
93.0	57	192	251
94.0	68	261	171
95.0	43	344	113
96.0	27	386	87
97.0	16	410	74
98.0	13	395	92
99.0	9	310	181
100.0	24	214	262
101.0	44	196	260
102.0	76	242	182
103.0	54	328	118
104.0	25	384	91
105.0	10	414	76
106.0	10	399	91
107.0	4	328	168
108.0	18	236	246
109.0	40	190	270
110.0	74	228	198
111.0	56	305	139
112.0	26	383	91
113.0	17	406	77
114.0	11	409	80
115.0	5	347	148
116.0	16	253	231
117.0	36	183	281
118.0	75	205	220
119.0	72	282	146
120.0	39	367	94
121.0	19	406	75
122.0	8	422	70
123.0	9	372	119
124.0	15	273	212
125.0	26	201	273
126.0	57	202	241
127.0	71	270	159
128.0	31	370	99
129.0	17	415	68
130.0	9	418	73
131.0	10	368	122
132.0	11	287	202
133.0	29	186	285
134.0	57	189	254
135.0	77	240	183
136.0	50	348	102
137.0	24	411	65
138.0	8	424	68
139.0	6	375	119
140.0	9	317	174
141.0	18	225	257
142.0	41	191	268
143.0	63	236	201
144.0	46	338	116
145.0	24	403	73
146.0	10	411	79
147.0	9	379	112
148.0	9	321	170
149.0	21	228	251
150.0	48	181	271
151.0	71	223	206
152.0	56	337	107
153.0	32	398	70
154.0	8	419	73
155.0	5	398	97
156.0	7	343	150
157.0	15	238	247
158.0	39	176	285
159.0	58	215	227
160.0	76	307	117
161.0	24	393	83
162.0	10	409	81
163.0	6	411	83
164.0	4	354	142
165.0	12	261	227
166.0	32	173	295
167.0	59	208	233
168.0	80	282	138
169.0	42	370	88
170.0	19	408	73
171.0	15	407	78
172.0	7	368	125
173.0	11	283	206
174.0	24	193	283
175.0	48	200	252
176.0	73	287	140
177.0	56	340	104
178.0	19	396	85
179.0	12	408	80
180.0	7	376	117
181.0	11	292	197
182.0	22	224	254
183.0	42	212	246
184.0	74	254	172
185.0	50	337	113
186.0	30	385	85
187.0	15	407	78
188.0	9	378	113
189.0	7	312	181
190.0	25	231	244
191.0	51	205	244
192.0	64	241	195
193.0	39	339	122
194.0	27	382	91
195.0	16	408	76
196.0	8	391	101
197.0	9	327	164
198.0	18	232	250
199.0	33	208	259
200.0	77	229	194
201.0	40	326	134
202.0	24	387	89
203.0	13	398	89
204.0	8	396	96
205.0	12	339	149
206.0	23	239	238
207.0	34	197	269
208.0	69	226	205
209.0	68	300	132
210.0	31	380	89
211.0	21	408	71
212.0	11	397	92
213.0	12	343	145
214.0	22	261	217
215.0	16	206	278
216.0	50	221	229
217.0	67	279	154
218.0	47	368	85
219.0	11	412	77
220.0	9	400	91
221.0	10	348	142
222.0	17	291	192
223.0	25	222	253
224.0	47	200	253
225.0	59	271	170
226.0	62	346	92
227.0	20	405	75
228.0	9	394	97
229.0	8	363	129
230.0	14	299	187
231.0	23	254	223
232.0	36	207	257
233.0	52	265	183
234.0	55	342	103
235.0	22	396	82
236.0	9	385	106
237.0	9	368	123
238.0	12	311	177
239.0	25	245	230
240.0	46	204	250
241.0	57	247	196
242.0	64	335	101
243.0	23	392	85
244.0	8	395	97
245.0	9	370	121
246.0	14	338	148
247.0	19	253	228
248.0	34	199	267
249.0	50	240	210
250.0	66	307	127
251.0	30	376	94
252.0	16	388	96
253.0	12	383	105
254.0	13	337	150
255.0	20	276	204
256.0	36	209	255
257.0	42	240	218
258.0	67	303	130
259.0	47	357	96
260.0	22	379	99
261.0	17	384	99
262.0	15	345	140
263.0	19	274	207
264.0	38	218	244
265.0	41	242	217
266.0	49	302	149
267.0	35	356	109
268.0	24	380	96
269.0	14	394	92
270.0	13	350	137
271.0	13	279	208
272.0	30	221	249
273.0	58	231	211
274.0	67	277	156
275.0	49	335	116
276.0	30	377	93
277.0	17	392	91
278.0	10	366	124
279.0	10	307	183
280.0	26	244	230
281.0	34	236	230
282.0	59	264	177
283.0	48	319	133
284.0	36	366	98
285.0	21	390	89
286.0	12	362	126
287.0	12	315	173
288.0	21	265	214
289.0	26	245	229
290.0	47	258	195
291.0	44	316	140
292.0	27	373	100
293.0	17	386	97
294.0	18	357	125
295.0	13	327	160
296.0	21	277	202
297.0	26	241	233
298.0	44	257	199
299.0	46	317	137
300.0	33	362	105
301.0	20	372	108
302.0	13	365	122
303.0	16	328	156
304.0	24	274	202
305.0	25	241	234
306.0	54	244	202
307.0	51	302	147
308.0	38	353	109
309.0	28	377	95
310.0	11	364	125
311.0	9	347	144
312.0	15	289	196
313.0	22	249	229
314.0	53	242	205
315.0	46	293	161
316.0	38	342	120
317.0	21	367	112
318.0	13	366	121
319.0	13	357	130
320.0	19	301	180
321.0	21	249	230
322.0	40	249	211
323.0	54	280	166
324.0	40	333	127
325.0	23	361	116
326.0	7	387	106
327.0	17	352	131
328.0	23	309	168
329.0	31	254	215
330.0	28	252	220
331.0	46	263	191
332.0	36	323	141
333.0	27	366	107
334.0	16	382	102
335.0	15	357	128
336.0	19	313	168
337.0	27	261	212
338.0	36	254	210
339.0	44	265	191
340.0	39	309	152
341.0	34	364	102
342.0	13	393	94
343.0	7	363	130
344.0	10	326	164
345.0	25	271	204
346.0	46	239	215
347.0	50	247	203
348.0	44	299	157
349.0	37	348	115
350.0	22	389	89
351.0	15	375	110
352.0	13	330	157
353.0	22	275	203
354.0	29	239	232
355.0	49	241	210
356.0	47	296	157
357.0	41	352	107
358.0	30	383	87
359.0	18	382	100
360.0	15	338	147
361.0	20	285	195
362.0	25	245	230
363.0	41	245	214
